,username,name,password,age,interests,tech,food,philosophy,learning,fitness,outdoors,photography,drinks,music,language,film,sci-fi,books,art,gaming,lgbtq,dance,career,fashion,travel,branch,location,geotag,userID,favInterest,rating
0,rajlee6,"OrderedDict([('first', 'Raj'), ('last', 'Lee')])",4L(&B3sE,59,"['outdoors', 'language', 'lgbtq', 'drinks', 'sci-fi']",0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,Marine Corps,"OrderedDict([('city', 'Boston'), ('state', 'MA'), ('country', 'USA')])","OrderedDict([('lat', -71.06781630096556), ('long', 42.34197485150129)])",u2,outdoors,6
1,carriemac288,"OrderedDict([('first', 'Carrie'), ('last', 'Mac')])",lMq!Q%v4,27,"['outdoors', 'language', 'lgbtq', 'drinks', 'sci-fi']",0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,Army,"OrderedDict([('city', 'Boston'), ('state', 'MA'), ('country', 'USA')])","OrderedDict([('lat', -71.08602696359209), ('long', 42.34357691684607)])",u4,drinks,8
2,averylui490,"OrderedDict([('first', 'Avery'), ('last', 'Lui')])",Gq7xlSZ!,54,"['fashion', 'sci-fi', 'tech']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Navy,"OrderedDict([('city', 'Boston'), ('state', 'MA'), ('country', 'USA')])","OrderedDict([('lat', -71.08487686001703), ('long', 42.35537069006615)])",u10,fashion,19
3,nicolesauer697,"OrderedDict([('first', 'Nicole'), ('last', 'Sauer')])",W0t0wv2F,62,"['gaming', 'food']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Army,"OrderedDict([('city', 'Boston'), ('state', 'MA'), ('country', 'USA')])","OrderedDict([('lat', -71.09138403433069), ('long', 42.34587293955716)])",u6,food,2
4,susennawan898,"OrderedDict([('first', 'Susenna'), ('last', 'Wan')])",ZajtXg%#,61,"['fashion', 'sci-fi', 'tech']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Army,"OrderedDict([('city', 'Boston'), ('state', 'MA'), ('country', 'USA')])","OrderedDict([('lat', -71.08683064218239), ('long', 42.34270078694049)])",u8,tech,1
5,kevinkim768,"OrderedDict([('first', 'Kevin'), ('last', 'Kim')])",kZ?w#Wvd,52,"['outdoors', 'language', 'lgbtq', 'drinks', 'sci-fi']",0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,Army,"OrderedDict([('city', 'Boston'), ('state', 'MA'), ('country', 'USA')])","OrderedDict([('lat', -71.05727275240427), ('long', 42.343446670064715)])",u3,sci-fi,12
6,sonamchang252,"OrderedDict([('first', 'Sonam'), ('last', 'Chang')])",7xewzbpv,67,"['outdoors', 'language', 'lgbtq', 'drinks', 'sci-fi']",0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,Marine Corps,"OrderedDict([('city', 'Boston'), ('state', 'MA'), ('country', 'USA')])","OrderedDict([('lat', -71.0608991284323), ('long', 42.34675963829829)])",u1,outdoors,6
7,susennaclinton977,"OrderedDict([('first', 'Susenna'), ('last', 'Clinton')])",@o)h8Q6M,25,"['gaming', 'food']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Air Force,"OrderedDict([('city', 'Boston'), ('state', 'MA'), ('country', 'USA')])","OrderedDict([('lat', -71.0926580567603), ('long', 42.35596596280212)])",u7,gaming,15
8,gwenhe789,"OrderedDict([('first', 'Gwen'), ('last', 'He')])",Mdm!yG0f,57,"['fashion', 'sci-fi', 'tech']",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Navy,"OrderedDict([('city', 'Boston'), ('state', 'MA'), ('country', 'USA')])","OrderedDict([('lat', -71.09136161504527), ('long', 42.353111788285254)])",u9,fashion,19
9,billroy619,"OrderedDict([('first', 'Bill'), ('last', 'Roy')])",IZFwsC)u,60,"['outdoors', 'language', 'lgbtq', 'drinks', 'sci-fi']",0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,Coast Guard,"OrderedDict([('city', 'Boston'), ('state', 'MA'), ('country', 'USA')])","OrderedDict([('lat', -71.0907456285161), ('long', 42.34544785132815)])",u5,lgbtq,16
